Avfallshanteringsverk;Kunta;;;
Salpakierto Oy;Orimattila;Salpakierto Oy;;
Loimi-Hämeen Jätehuolto;Oripää;;;
Pirkanmaan Jätehuolto;Orivesi;;;
Vestia;Oulainen;;;
Kiertokaari;Oulu;;;
Jätekukko;Outokumpu;;;
Salpakierto Oy;Padasjoki;Salpakierto Oy;;
Lounais-Suomen Jätehuolto;Paimio;;;
Kainuun jätehuoltokuntayhtymä Ekokymppi;Paltamo;;;
Lounais-Suomen Jätehuolto;Parainen;;;
Etelä-Karjalan Jätehuolto;Parikkala;;;
Pirkanmaan Jätehuolto;Parkano;;;
Ekorosk;Pedersören kunta;;;
Lapin Jätehuolto kuntayhtymä, Lapeco;Pelkosenniemi;;;
Napapiirin Residuum;Pello;;;
Millespakka;Perho;;;
Sammakkokangas;Petäjävesi;;;
Jätekukko;Pieksämäki;;;
Ylä-Savon Jätehuolto;Pielavesi;;;
Ekorosk;Pietarsaari;;;
Sammakkokangas;Pihtipudas;Osittainen jäsen;;
Pirkanmaan Jätehuolto;Pirkkala;;;
Puhas;Polvijärvi;;;
Porin seutu;Pomarkku;;;
Porin seutu;Pori;;;
Rosk’n Roll Oy Ab;Pornainen;;;
Rosk’n Roll Oy Ab;Porvoo;;;
Kiertokaari;Pudasjärvi;;;
Salpakierto Oy;Pukkila;Salpakierto Oy;;
Loimi-Hämeen Jätehuolto;Punkalaidun;;;
Kainuun jätehuoltokuntayhtymä Ekokymppi;Puolanka;;;
Metsäsairila;Puumala;Pienjäteasema;;
Kymenlaakson Jäte;Pyhtää;;;
Vestia;Pyhäjoki;;;
Vestia;Pyhäjärvi;;;
Vestia;Pyhäntä;;;
Pirkanmaan Jätehuolto;Pälkäne;;;
Lounais-Suomen Jätehuolto;Pöytyä;;;
Kiertokaari;Raahe;;;
Rosk’n Roll Oy Ab;Raasepori;;;
Lounais-Suomen Jätehuolto;Raisio;;;
Savonlinnan Seudun Jätehuolto;Rantasalmi;;;
Napapiirin Residuum;Ranua;;;
Rauman seudun jätehuoltolaitos;Rauma;;;
Jätekukko;Rautalampi;;;
Jätekukko;Rautavaara;;;
Etelä-Karjalan Jätehuolto;Rautjärvi;;;
Millespakka;Reisjärvi;;;
Kiertokapula;Riihimäki;;;
Kainuun jätehuoltokuntayhtymä Ekokymppi;Ristijärvi;;;
Napapiirin Residuum;Rovaniemi;;;
Pirkanmaan Jätehuolto;Ruovesi;;;
Lounais-Suomen Jätehuolto;Rusko;;;
Sammakkokangas;Saarijärvi;;;
Lapin Jätehuolto kuntayhtymä, Lapeco;Salla;;;
Lounais-Suomen Jätehuolto;Salo;;;
Loimi-Hämeen Jätehuolto;Sastamala;;;
Pirkanmaan Jätehuolto;Sastamala;;;
Lounais-Suomen Jätehuolto;Sauvo;;;
Etelä-Karjalan Jätehuolto;Savitaipale;;;
Savonlinnan Seudun Jätehuolto;Savonlinna;;;
Lapin Jätehuolto kuntayhtymä, Lapeco;Savukoski;;;
Lakeuden Etappi;Seinäjoki;;;
Vestia;Sievi;;;
Porin seutu;Siikainen;;;
Kiertokaari;Siikajoki;;;
Vestia;Siikalatva;;;
Jätekukko;Siilinjärvi;;;
Kiertokaari;Simo;;;
Rosk’n Roll Oy Ab;Sipoo;;;
Rosk’n Roll Oy Ab;Siuntio;;;
Lapin Jätehuolto kuntayhtymä, Lapeco;Sodankylä;;;
Millespakka;Soini;;;
Loimi-Hämeen Jätehuolto;Somero;;;
Ylä-Savon Jätehuolto;Sonkajärvi;;;
Kainuun jätehuoltokuntayhtymä Ekokymppi;Sotkamo;;;
Savonlinnan Seudun Jätehuolto;Sulkava;;;
Kainuun jätehuoltokuntayhtymä Ekokymppi;Suomussalmi;;;
Jätekukko;Suonenjoki;;;
Salpakierto Oy;Sysmä;Salpakierto Oy;;
Loimi-Hämeen Jätehuolto;Säkylä;;;
Etelä-Karjalan Jätehuolto;Taipalsaari;;;
Loimi-Hämeen Jätehuolto;Tammela;;;
Pirkanmaan Jätehuolto;Tampere;;;
Jätekukko;Tervo;;;
Perämeren jätehuolto;Tervola;;;
Botniarosk;Teuva;;;
Vestia;Toholampi;;;
Mustankorkea;Toivakka;;;
Perämeren jätehuolto;Tornio;;;
Lounais-Suomen Jätehuolto;Turku;;;
Jätekukko;Tuusniemi;;;
Kiertokapula;Tuusula;;;
Porin seutu;Ulvila;;;
Loimi-Hämeen Jätehuolto;Urjala;;;
Ei ole;Utsjoki;;;
Sammakkokangas;Uurainen;;;
Ekorosk;Uusikaarlepyy;;;
Kainuun jätehuoltokuntayhtymä Ekokymppi;Vaala;;;
Stormossen;Vaasa;;;
Kiertokapula;Valkeakoski;;;
HSY;Vantaa;;;
Keski-Savon Jätehuolto;Varkaus;;;
Jätekukko;Vesanto;;;
Pirkanmaan Jätehuolto;Vesilahti;Kiikoisissa, Vammalassa, Kiikassa ja Keikyässä sekä Punkalaitumella alueellinen jätehuoltoviranomainen on Forssan kaupungin jätelautakunta ja jätehuollon järjestämisestä vastaa Loimi-Hämeen Jätehuolto Oy.;;
Ekorosk;Veteli;;;
Ylä-Savon Jätehuolto;Vieremä;;;
Rosk’n Roll Oy Ab;Vihti;;;
Sammakkokangas;Viitasaari;Osittainen jäsen;;
Millespakka;Vimpeli;;;
Kymenlaakson Jäte;Virolahti;;;
Pirkanmaan Jätehuolto;Virrat;;;
Stormossen;Vöyri;;;
Perämeren jätehuolto;Ylitornio;;;
Vestia;Ylivieska;;;
Pirkanmaan Jätehuolto;Ylöjärvi;;;
Loimi-Hämeen Jätehuolto;Ypäjä;;;
Lakeuden Etappi;Ähtäri;;;
Sammakkokangas;Äänekoski;;;
Åland;Brändö;;;
Åland;Eckerö;;;
Åland;Finström;;;
Åland;Föglö;;;
Åland;Geta;;;
Åland;Hammarland;;;
Kommunen / kontraktsbaserat;Hartola;Kommunen / tekninen lautakunta;;
Metsäsairila;Hirvensalmi;Kontrakt med Mikkeli stad;;
Åland;Jomala;;;
Kommunen / kontraktsbaserat;Joutsa;Kommunen / tekninen lautakunta;;
Jätehuolto Härmälä Oy;Jämijärvi;Kommunen / Kontraktsbaserat;;
Kangasniemen Jätehuolto Oy;Kangasniemi;Kommunen / Kangasniemen Jätehuolto Oy;;
Pohjois-Satakunnan Jätteidenkäsittely Oy;Kankaanpää;;;
Kommunen / kontraktsbaserat;Karvia;Kommunen;Jätehuolto Japi Ay;
Kommunen / kontraktsbaserat;Keuruu;Kommunen;Energiavfall: Riikinvoiman polttolaitos, Bioavfall Labio Oy, Lahti.;
Kiteen Jätehuolto Oy;Kitee;Kommunen / Kiteen jätehuolto;Kiteen Jätehuolto Oy;
Kommunen / kontraktsbaserat;Kolari;Kommunen;;
Kymenlaakson Jäte;Kotka;;;
Kommunen;Kuhmoinen;Kommunen;;
Åland;Kumlinge;;;
Kommunen / kontraktsbaserat;Kustavi;Taivassalon Jätehuolto Oy;Kommunen / kunnan rakennuslautakunta;
Kommunen / kontraktsbaserat;Kuusamo;Kommunen övervakar att alla har kontrakt;;
Åland;Kökar;;;
Kommunen / kontraktsbaserat;Laihia;kiinteistön haltijan järjestämä jätteenkuljetus / katuinsinööri.;Oklart;Kontraktsbaserat
Kommunen / kontraktsbaserat;Laitila;sopimusperusteinen jätteenkuljetus;Jätehuolto Helistölä Oy;
Åland;Lemland;;;
Lakeuden EKO;Liminka;;;
Kommunen / kontraktsbaserat;Luhanka;Kommunen;https://www.luhanka.fi/jatehuolto/;
Åland;Lumparland;;;
Åland;Maarianhamina;;;
Lakeuden EKO;Muhos;;;
Kymenlaakson Jäte;Pertunmaa;1.1.2023*;;
Posion Jätehuolto Jouko Ahola Oy;Posio;Kommunen;;
Jätehuolto Helistölä Oy;Pyhäranta;sopimusperusteinen jätteenkuljetus;;
Etelä-Karjalan Jätehuolto;Ruokolahti;;;
